지역,근무회사,근무시간,급여,올린시간,알바설명
광명시 전체,쿠팡,시간협의,"시급17,000",06/30,"첫배송만해도 13만원 지급/단기,투잡가능/배송알바/쿠팡플렉스"
광명시 하안동,경기두레소비자생협,17:00~21:00,"시급8,800",07/08,두레생협 (철산점/중동역점/능곡점) 매장판매직원 모집합니다
광명시 광명동,GS25광명제일점,22:00~08:00,"시급8,720",07/18,"GS25광명제일점 (화,수)야간근무자모집 ,주부환영,주휴수당,퇴직금지급"
광명시 광명동,링크타임,시간협의,"건별3,300,000",18시간전,단기/주말/최대350만) 전국 원하는일정에 투잡가능/친구와 꿀알바
광명시 광명동,노랑통닭 광명사거리점,17:00~24:00 (협의가능),"시급14,000",16시간전,노랑통닭 광명점에서 배달 아르바이트 및 직원 모집합니다
광명시 하안동,(주)맘편한세상,09:00~18:00 (협의가능),"시급10,000",5시간전,맘시터 아이돌봄 모집 / 주부환영 / 보육교사 / 대학생 (평일/주말/시급만원)
광명시 전체,미르엔터테인먼트,시간협의,"주급800,000",17시간전,【주급지급/고소득】드라마/예능스텝및보조출연/엑스트라/단역/단기알바/방송알바
광명시 소하동,다이소 광명소하점,15:00~21:00,"시급8,720",9시간전,다이소 광명소하점 파트직원 모집 (식비 지원)
광명시 철산동,스타벅스커피 코리아 철산로데오점,07:30~22:30 (로테이션),"시급9,000",07/18,스타벅스 철산로데오점 바리스타 모집
광명시 소하동,한상드림소하점,10:00~20:00,"시급8,720",1시간전,한상드림소하점에서 일요일 근무자 구합니다.
광명시 하안동,GS25하안으뜸점,00:00~08:00,"시급8,720",07/16,GS25 하안으뜸점 스토어매니저 모집
광명시 광명동,GS25 광명리더스점,01:00~08:00,"시급8,720",07/18,금요일 야간 아르바이트 모집
광명시 하안동,도미노피자 광명점,17:00~22:00 (협의가능),"시급12,000",07/17,도미노피자광명점 평일 및 주말 배달스텝모집합니다
광명시 일직동,세븐일레븐 광명골드스타점,06:00~13:00,"시급8,720",07/17,주말 오전6시부터 1시까지 성실히 일해주실분 구합니다
광명시 일직동,까레오carreo,"10:00~16:00 (로테이션,협의가능)","건별100,000",18시간전,【재택알바/당일지급】건당10만/블로그포스팅부업단기주말야간주부사무보조학생장기
광명시 소하동,CU 소하휴먼시아점,17:00~24:00 (협의가능),"시급8,720",2시간전,cu소하휴먼시아 목/금 오후5시~밤12시 저녁알바 모집(경력자만)
광명시 전체,아웃백 딜리버리 광명점,시간협의,"시급10,430",07/17,"평일, 주말 딜리버리 아웃백과 함께 할 직원 구함"
광명시 소하동,GS25소하드림점,18:00~24:00,"시급8,720",10시간전,GS25드림점 주말 18시~00시까지 알바구합니다
광명시 광명동,예지테크,07:00~17:00,"일급140,000",3시간전,"건설현장 기능공경력자환영 일급140,000원"
광명시 광명3동,예스런,시간협의,"건별3,800",3시간전,예스런광명 철산
광명시 전체,잡화상회,09:00~18:00 (협의가능),"일급90,000",6시간전,시장매장 판매사원 일급9만원~능력제/시장 앞도바 일급10만원~능력제
광명시 소하동,GS25광명오리로점,시간협의,"시급8,720",18시간전,GS25 광명오리로점 스토어매니저 모집
광명시 소하동,CU 광명스카이점,15:00~18:00,"시급8,720",4시간전,편의점 월화수목 오후(15:00~18:00) 아르바이트 구합니다.
광명시 광명7동,파리바게뜨 광명7동점,14:00~16:00,"시급8,720",07/15,파리바게트광명7동매장근무자
광명시 전체,GS수퍼마켓 광명데시앙점,08:00~14:30,"시급8,720",07/17,GS더프레시 상품 진열 직원모집
광명시 하안동,다이소 광명하안점,15:00~21:00,"시급8,720",4시간전,다이소 광명하안점 파트직원 모집 (식비 지원)
광명시 일직동,슈퍼히어로 광명하소일센터,11:00~23:00 (협의가능),"일급150,000",07/15,하안.소하.일직 슈퍼히어로 배달대행 라이더 모집
광명시 광명동,GS수퍼마켓 광명점,시간협의,"시급8,720",4시간전,가족같이 일하실 계산원/경력자 모집합니다
광명시 광명동,세븐일레븐 광명역사점,00:00~08:00 (협의가능),"시급8,720",4시간전,세븐일레븐 광명역사점에서 주말야간근무자를 모집합니다.
광명시 철산4동,도미노피자 철산점,11:30~22:00 (협의가능),"주급500,000",07/18,도미노피자 철산점에서 함께일하실 배달히어로 구합니다
광명시 일직동,두찜 광명역점,18:00~22:30,"시급9,000",5시간전,시급9000원)두찜 광명역점 홀서빙 및 주방보조 모집
광명시 전체,광명사거리점,17:00~22:00 (협의가능),"시급8,720",22시간전,노랑통닭 광명사거리점 주방아르바이트 모집중
광명시 철산동,세븐일레븐 철산우성점,08:00~16:00,"시급8,720",6시간전,평일 오전(08시~16시) 근무자 구합니다
광명시 철산동,당신의집사,00:00~24:00 (협의가능),"시급13,000",6시간전,청소/정리정돈일복터진 회사/당일근무가능/각종보너스/주부/파트타임/풀타임
광명시 철산동,(유)미소,"09:00~18:00 (로테이션,협의가능)","시급14,600",7시간전,"시급14,000) 청소알바/동네 근처/가사도우미/업계 일자리 최대 시급"
광명시 전체,대성유통 - 뽀득,12:00~18:30 (협의가능),"일급70,000",8시간전,어린이집 식판 납품 및 회수 - 상하차 운전 배송 배달
광명시 하안동,청소연구소 본사,시간협의,"시급13,000",8시간전,청소매니저 상시 모집 / 가입비X 교육비X 회비X
광명시 전체,쿠팡 플렉스,시간협의,"시급17,000",18시간전,"첫배송만해도 13만원 지급/단기,투잡가능/배송알바/쿠팡플렉스"
광명시 하안동,스마일철거,10:30~18:00 (협의가능),"시급12,000",21시간전,가정집 가구 가전 마데자루 내리기
광명시 전체,후딱배달대행,14:00~24:00 (협의가능),"건별3,800",18시간전,배달기사구합니다. 초보~경력 환영 (능력제)
광명시 하안동,생각대로하안점,11:00~02:00 (협의가능),"일급200,000",07/18,"최저렌탈비,리스비 업계1위에서 함께하실 배달대행 기사님 모십니다~"
광명시 광명동,서아건설,07:00~17:00,"일급140,000",07/18,일당14만 건설현장 초보자모집 신용불량 고소득 당일지급 숙식제공 친구동반가능
광명시 광명5동,이음공인중개사사무소,10:00~18:00 (협의가능),"건별5,000,000",07/17,"이음부동산&amp;컨설팅에서 중개,분양 업무를 담당하실 인재를 모집합니다."
광명시 광명동,엔지프로젝트,"10:00~16:00 (로테이션,협의가능)","건별100,000",07/17,【재택알바/단기】블로그 포스팅 당일지급/초보/학생/주부/부업/장기/주말/야간
광명시 소하동,경동택배,09:00~19:30,"시급8,720",07/17,"전산입력, 사무경리 정직원 모집합니다"
광명시 가학동,맞춤,08:00~17:00,"시급8,900",07/16,"광명KTX 근처 상품 구매 및 창고 입출고, 상품 포장(당일지급)"
광명시 하안동,돈카츠마켙 광명하안점,10:00~22:00 (협의가능),"시급8,720",07/14,홀서빙겸포장 / 주방 10시~22시 주1회휴무
광명시 하안동,광명아리랑,11:00~14:00,"시급9,000",07/14,홀서빙 파트 구함 11시~14시 광명시 하안동
광명시 철산동,광명전력공사,08:00~17:00,"일급200,000",07/13,건설전공 대모집 / 전공20만원(경력자)
광명시 가학동,풍년관 설렁탕,12:00~17:00,"시급10,000",07/07,주방설거지 및 보조 12시~17시(시간당 1만) 10시~21시30분 (협의)
광명시 하안동,롯데리아 광명하안점,09:00~14:00 (협의가능),"시급8,720",07/15,여 아르바이트 대모집
광명시 소하동,GS25 신규오픈33호점,08:00~10:30,"시급8,720",07/15,GS25광명테크1 평일 오전 근무자 모집
광명시 전체,애니맨 경기지사A,09:00~18:00 (협의가능),"건별20,000",07/14,애니맨실시간지원가능/초보가능/자율근무/주단위정산
광명시 일직동,케이티엑스주유소,시간협의,"시급8,720",07/18,광명시 KTX주유소) 주유.세차원구함
광명시 일직동,롭스 광명아울렛점,13:30~19:00,"시급8,720",07/14,롭스 광명아울렛점 평일 오후 파트타이머 모집
광명시 광명3동,광명PC토랑,23:00~07:00,"시급9,500",07/18,광명PC토랑에서 평일야간 직원을 모집합니다
광명시 하안동,위캔수학교습소,00:00~24:00 (협의가능),"시급11,000",07/18,수학 보조강사 또는 파트타임쌤 구합니다.
광명시 광명동,홈플러스 익스프레스 광명점,16:00~23:00,"시급8,720",07/14,홈플러스 광명점에서 일할 단기 직원 모집합니다
광명시 철산3동,한국파파존스(주),11:00~22:30 (협의가능),"시급8,720",07/18,파파존스 철산점 배달(드라이버) 모집합니다.
광명시 소하1동,(주)메가슈플렉스에스마켓코리아,시간협의,"시급8,720",07/18,에스마켓 EM광명소하점 판매사원 모집
광명시 일직동,짬뽕가,11:00~14:30,"시급9,000",07/18,광명역근처) 홀서빙 구합니다
광명시 노온사동,대복주유소,05:00~14:00 (협의가능),"시급8,720",07/18,대복주유소에서 일하실 직원 모집합니다
광명시 전체,(주)오티비컴퍼니,16:00~22:00,"일급47,960",07/18,평일알바/쉬운업무 광명시 단순 업무 스탭 구인
광명시 전체,피자헛,00:00~24:00 (협의가능),"시급10,464",07/18,시급10464(주휴포함)피자헛 광명소하점 배달기사 모집
광명시 전체,한국피자헛,12:00~12:00 (협의가능),"시급10,464",07/18,"시급 10,464원 피자헛 광명소하점 라이더모집"
광명시 철산3동,주재근베이커리,18:30~22:00,"시급8,720",07/18,판매아르바이트
광명시 철산동,대진통상,18:30~21:30,"시급9,000",07/18,일당알바 22일 23일 철산역 3시간에서 4시간 일당알바 군필자 우대
광명시 철산동,커피하와이,09:00~00:00 (협의가능),"시급10,000",07/18,광명철산 카페 무경력매니저및파트타임모집 창업희망자 우대
광명시 전체,경동합동택배(군포복합물류센터內나동),19:30~04:30,"일급154,240",07/17,야간.7시간.9시간.단순분류.초보가능.365일.100%당일지급(군포)
광명시 광명4동,GS25광명한진점,19:00~23:00 (협의가능),"시급8,720",07/17,GS25광명한진점 평일오후 아르바이트 구합니다
광명시 소하동,세븐일레븐 광명소하고점,12:30~15:30,"시급10,000",07/13,평일 물류 상하차
광명시 전체,한국 피자헛 광명소하점,00:00~24:00 (협의가능),"시급10,463",07/17,피자헛광명소하점에서근무할배달팀원을모집합니다
광명시 철산동,아마스빈 철산역점,12:00~18:00,"시급8,720",07/17,철산역아마스빈 버블티 철산역점 주말 PT 구합니다.
광명시 전체,피자헛(광명소하점),12:00~22:00 (협의가능),"시급10,464",07/17,"시급10,464원/피자헛 광명소하점에서 함께 근무할 배달 라이더 모집합니다."
광명시 일직동,스타벅스커피 코리아 광명롯데몰,07:30~23:00 (로테이션),"시급9,000",07/13,스타벅스 광명롯데몰점바리스타 모집
광명시 전체,(주)슈퍼히어로딜리버리,09:30~00:00 (협의가능),"일급150,000",07/17,(광명철산지사)슈퍼히어로 배달대행 자율출근 자율퇴근 프리라이더모집
광명시 전체,유니클로 광명점,시간협의,"시급8,870",07/17,파트타이머(주 14시간) 모집합니다.
광명시 소하동,더잘영수학원,14:30~18:30,"시급9,000",07/17,수업 보충 및 채점 파트
광명시 하안동,교촌치킨 광명 하안1호,17:00~11:00,"시급10,000",07/13,홀~~알바 구합니다
광명시 하안동,피자나라 치킨공주,시간협의,"시급11,500",07/17,피자나라 치킨공주 하안점에서 배달기사 구합니다
